Id;Id Business Unit;Nom Business Unit;Nom;Tipus servei;Disponible a l'hivern;Disponible a l'estiu;Número de places;Lat;Lon
6bd788bb-4b55-4f24-b337-201082327542;15;La Molina;P3 - FONT CANALETA;Aparcament;1;1;464;;
06a8d503-fd5b-4715-9024-a4fbf3566093;15;La Molina;P5 - ROC BLANC;Aparcament;1;1;299;;
8dff0c5e-5b6b-4836-b834-ad5739a4476e;16;Vall de Núria;Aparcament Ribes-Vila;Aparcament;1;1;;;
78aae0fd-e46a-4c98-bfa5-ec22604cf4ff;17;Vallter;P4 Pàrquing;Aparcament;1;1;;;
2f2f812b-ef6e-4513-976f-a3b4671433b2;19;Port Ainé;Cota 1600;Aparcament;1;1;;;
81a5b309-38e7-4028-8609-725d854f7d6e;19;Port Ainé;Roní;Aparcament;1;1;162;;
9a1e742b-8040-4fff-b675-f5bcf25c4057;19;Port Ainé;La Font;Aparcament;1;1;42;;
04e3b649-6950-4ab0-a696-c81570fa6d62;15;La Molina;P6 - ALABAU;Aparcament;1;1;184;;
96dfa3f3-c9d0-4fce-b3ac-4cc93c80b34d;18;Espot;La Roca;Aparcament;1;1;150;;
efad9f9d-1aed-4544-8138-0310210e633b;20;Boí Taüll;Parking 2;Aparcament;1;0;;;
b7fe56b7-56cd-4e5b-8b5b-4df1486a2a3a;20;Boí Taüll;Parking 1;Aparcament;1;0;;;
d11d0502-3b69-4b5c-b1ee-9fd559ca99af;17;Vallter;P1 Base Estació;Aparcament;1;1;;;
e1e292a9-29ff-4357-bd78-3a327d2eed37;17;Vallter;P3 BIS Pàrquing Escullera;Aparcament;1;1;;;
c01ce96e-9c57-4f3b-9185-a1acd80ed190;17;Vallter;P5 Zona Xalet;Aparcament;1;1;;;
705e72ec-3710-48e2-9faa-61494321d7cf;17;Vallter;P6 Pàrquing-Autocaravanes;Aparcament;1;1;;;
94136e55-41f9-4d8e-8552-53297fdad693;15;La Molina;P1 - TELECABINA;Aparcament;1;1;884;;
7e83f72c-ab29-47e1-8615-2f63f12b1175;15;La Molina;P4 - PISTA LLARGA;Aparcament;1;1;486;;
9c4cb206-4cf2-4c75-a3b0-130897259222;15;La Molina;P7 - COLL SISÉ;Aparcament;1;1;;;
55f9d9d3-2d81-47da-8c27-7e8020dd9381;15;La Molina;P8 - EL LLAC;Aparcament;1;1;10;;
36cd5855-2c44-4531-82c4-f245b20550c4;19;Port Ainé;Riu Sec;Aparcament;1;1;222;;
1f949e03-c94c-4ea0-91f6-41565634f03d;19;Port Ainé;Rabasta;Aparcament;1;1;290;;
c8847c59-70c8-482e-9182-754d5a3a074d;19;Port Ainé;Jet Cim;Aparcament;1;1;143;;
aa77c053-0810-41ec-a021-acdab5532d23;18;Espot;Estanyets;Aparcament;1;1;650;;
52ae9617-9f40-448d-9374-748350449d3b;17;Vallter;P2 Pàrquing-Abonats;Aparcament;1;1;;;
e1a0d75c-5e44-4782-ad26-5ee36b29a845;17;Vallter;P3 Pàrquing;Aparcament;1;1;;;
bb65755a-e1a2-4f35-898f-c05ea6008cc7;16;Vall de Núria;Aparcament Ribes Enllaç;Aparcament;1;1;;;
39477f56-9e40-4a2a-893d-09d50ba9cc26;16;Vall de Núria;Aparcament Queralbs;Aparcament;1;1;;;
